Name|Latitude|Longitude
Newton Food Centre|1.31218587247346|103.8394125012399|
North Bridge Road Market & Food Centre|1.305634341699706|103.863909338416|
Pasir Panjang Food Centre|1.275907559774707|103.7914027252468|
Pek Kio Market & Food Centre|1.316159988808663|103.850225127756|
People's Park Food Centre|1.284735231978829|103.8423421178754|
Sembawang Hills Food Centre|1.372384206580348|103.8289932572496|
Serangoon Garden Market|1.36273680039802|103.8661621691668|
Taman Jurong Market & Food Centre|1.334589378505547|103.7215199252376|
Tanglin Halt Market|1.300558073724426|103.7977193820908|
Tekka Market|1.306177731803101|103.8506099912642|
Tiong Bahru Market|1.284785573798544|103.8321815699135|
Zion Riverside Food Centre|1.292311140438527|103.8309733200606|
Blk 75 Toa Payoh Lorong 5|1.336020763097092|103.8529569933565|
Blk 79 Redhill Lane|1.287783459505137|103.8183341739526|
Blk 80 Circuit Road|1.327834153435138|103.8871026717085|
Blk 82 Telok Blangah Drive|1.273682278247759|103.8076517890781|
Blk 84 Marine Parade Central|1.302285208957339|103.9063386052314|
Blk 85 Bedok North Street 4|1.332057767049|103.9387150293885|
Blk 85 Redhill Lane|1.287307524699958|103.818311199256|
Blk 89 Circuit Road|1.323579717149394|103.8854388424853|
Blk 90 Whampoa Drive|1.323064030200291|103.8549950828258|
Blk 93 Toa Payoh Lorong 4|1.338417344498168|103.8494849678966|
Blks 22A/B Havelock Road|1.287970513003653|103.8296234174939|
Blks 79/79A Circuit Road|1.326449974124883|103.8850435593243|
Blks 91/92 Whampoa Drive|1.323428194198354|103.8540601996734|
Bukit Timah Market|1.339452421456157|103.7760073146927|
Chinatown Market|1.282271875498668|103.8431595288503|
Chomp Chomp Food Centre|1.364232516957483|103.8665270242642|
Chong Pang Market & Food Centre|1.431526723126734|103.8284198643284|
Dunman Food Centre|1.30941426870369|103.9018252146034|
East Coast Lagoon Food Village|1.307261072089387|103.9347997400974|
Geylang Serai Market|1.316725151665205|103.89797741752|
Golden Mile Food Centre|1.30314151793018|103.8638773731047|
Holland Village Market & Food Centre|1.311148972048257|103.7948338059911|
Hong Lim Market & Food Centre|1.285299084224003|103.8458238062449|
Kallang Estate Market|1.307344017629056|103.884018305046|
Kovan Market & Food Centre|1.359083837314556|103.8860553762365|
Blks 2 & 3 Changi Village Road|1.389151644716286|103.9882452530849|
Commonwealth Crescent Market|1.306995349148143|103.8003564660514|
ABC Brickworks Market & Food Centre|1.286952753799491|103.808128006506|
Adam Food Centre|1.324441869284674|103.8140503651504|
Albert Centre Market & Food Centre|1.301051687510442|103.8540775748619|
Alexandra Village Food Centre|1.286297814723725|103.8044893424731|
Amoy Street Food Centre|1.279218489660612|103.8466068631634|
Bedok Food Centre|1.320354091423384|103.9554718718605|
Beo Crescent Market|1.28883084453908|103.8273539773362|
Berseh Food Centre|1.307336546359966|103.856853988182|
Blk 1 Jalan Kukoh|1.288231020275525|103.8399341718091|
Blk 105 Hougang Ave 1|1.353847284445278|103.8900941599566|
Blk 11 Telok Blangah Crescent|1.277366898697085|103.8186417085841|
Blk 112 Jalan Bukit Merah|1.280001825749289|103.8260035985858|
Blk 115 Bukit Merah View|1.285504463795483|103.8218232607993|
Blk 117 Aljunied Ave 2|1.320781080956248|103.8867735355609|
Blk 127 Toa Payoh Lorong 1|1.338092762385048|103.8447316920484|
Blk 137 Tampines Street 11|1.345639545438363|103.9446245413555|
Blk 159 Mei Chin Road|1.29323624894272|103.8029038741589|
Blk 16 Bedok South Road|1.320500841288046|103.9354736447065|
Blk 163 Bukit Merah Central|1.283881214133842|103.8169395504928|
Blk 17 Upper Boon Keng Road|1.315028065095591|103.8716203275483|
Blk 20 Ghim Moh Road|1.310996634856371|103.788230312994|
Blk 208B New Upper Changi Road|1.32481817137768|103.9305443055793|
Blk 210 Toa Payoh Lorong 8|1.340252087572717|103.8543338374448|
Blk 216 Bedok North Street 1|1.327062460435807|103.9332216247242|
Blk 22 Toa Payoh Lorong 7|1.335382607652699|103.857003712656|
Blk 226D Ang Mo Kio Ave 1|1.3668100031486|103.839142566379|
Blk 226H Ang Mo Kio Street 22|1.367196532478751|103.840022227191|
Blk 254 Jurong East Street 24|1.343488124702872|103.7377383998656|
Blk 29 Bendemeer Road|1.319216679537891|103.8630209327443|
Blk 320 Shunfu Road|1.352025568262769|103.8369645095108|
Blk 341 Ang Mo Kio Ave 1|1.36384515924721|103.8480672978|
Blk 347 Jurong East Ave 1|1.345188119243815|103.7311447990045|
Blk 353 Clementi Ave 2|1.314380656477841|103.7707728141098|
Blk 36 Telok Blangah Rise|1.272589142136248|103.821998237127|
Blk 409 Ang Mo Kio Ave 10|1.362654106765128|103.855288298802|
Blk 44 Holland Drive|1.308117807030734|103.7927737798387|
Blk 448 Clementi Ave 3|1.31331969538849|103.7645171970152|
Blk 453A Ang Mo Kio Ave 10|1.368251303378156|103.856308682672|
Blk 49 Sims Place|1.317035025659562|103.8793098614308|
Blk 4A Eunos Crescent|1.320331265044916|103.9042564868546|
Blk 4A Jalan Batu|1.302345333643874|103.8839097505575|
Blk 4A Woodlands Centre Road|1.441084220868|103.7700768137577|
Blk 502 West Coast Drive|1.311891013408162|103.7590419782175|
Blk 503 West Coast Drive|1.311803092342638|103.7597514108719|
Blk 505 Jurong West Street 52|1.349674258234782|103.7184414283177|
Blk 50A Marine Terrace|1.305729737813262|103.9157370431772|
Blk 51 Old Airport Road|1.308109821494997|103.8857316816082|
Blk 511 Bedok North Street 3|1.333009476978697|103.9304559662493|
Ci Yuan Hawker Centre|1.375148977353538|103.8828941784085|
Bukit Panjang Hawker Centre and Market|1.377600587741231|103.7724896631775|
Kampung Admiralty Hawker Centre|1.439749511798454|103.8007207159489|
Blk 79 Telok Blangah Drive|1.273364914596779|103.8076215960318|
Blk 37A Teban Gardens Road|1.320831093519556|103.7427481247625|
Our Tampines Hub Hawker Centre|1.353547395784241|103.9403811069237|
Blk 527 Ang Mo Kio Ave 10|1.372772088916192|103.854457957125|
Blk 538 Bedok North Street 3|1.332067269907914|103.9246213188613|
Blk 58 New Upper Changi Road|1.324200878448629|103.9411252800134|
Blk 6 Tanjong Pagar Plaza|1.276614652265234|103.8431670334708|
Blk 628 Ang Mo Kio Ave 4|1.380987608877367|103.8406280907897|
Blk 630 Bedok Reservoir Road|1.333159297511038|103.9140539790657|
Blk 69 Geylang Bahru|1.321463116695087|103.8700050207886|
Blk 7 Empress Road|1.316245751985333|103.8056364209655|
Blk 724 Ang Mo Kio Ave 6|1.372172584437866|103.8465103142907|
Blk 726 Clementi West Street 2|1.303810732882641|103.7642507543098|
Blk 74 Toa Payoh Lorong 4|1.334550745979779|103.8520035189121|
Market Street Food Centre|1.283885415953311|103.8499836860151|
Maxwell Food Centre|1.280537909515425|103.8444748149958|
Blks 13/14 Haig Road|1.31510909604188|103.8955878371899|
Blks 160/162 Ang Mo Kio Ave 4|1.374282618157912|103.8389772228716|
Blks 1A/ 2A/ 3A Commonwealth Drive|1.299730722818178|103.7978355440707|
Blks 20/21 Marsiling Lane|1.443404822759808|103.7769672109374|
Blks 221A/B Boon Lay Place|1.345224062683512|103.7128006859523|
